App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Dead Fields,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Lack of Cohesion,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
commons-math,ContinuousOutputModelTest.java,/home/ubuntu/experiments/projects/commons-math/src/test/java/org/apache/commons/math3/ode/ContinuousOutputModelTest.java,/home/ubuntu/experiments/projects/commons-math/src/main/java/org/apache/commons/math3/ode/ContinuousOutputModel.java,src/test/java/org/apache/commons/math3/ode/ContinuousOutputModelTest.java,src/main/java/org/apache/commons/math3/ode/ContinuousOutputModel.java,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false
commons-math,ContinuousOutputFieldModelTest.java,/home/ubuntu/experiments/projects/commons-math/src/test/java/org/apache/commons/math3/ode/ContinuousOutputFieldModelTest.java,/home/ubuntu/experiments/projects/commons-math/src/main/java/org/apache/commons/math3/ode/ContinuousOutputFieldModel.java,src/test/java/org/apache/commons/math3/ode/ContinuousOutputFieldModelTest.java,src/main/java/org/apache/commons/math3/ode/ContinuousOutputFieldModel.java,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false
commons-math,JacobianMatricesTest.java,/home/ubuntu/experiments/projects/commons-math/src/test/java/org/apache/commons/math3/ode/JacobianMatricesTest.java,/home/ubuntu/experiments/projects/commons-math/src/main/java/org/apache/commons/math3/ode/JacobianMatrices.java,src/test/java/org/apache/commons/math3/ode/JacobianMatricesTest.java,src/main/java/org/apache/commons/math3/ode/JacobianMatrices.java,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false
commons-math,FieldExpandableODETest.java,/home/ubuntu/experiments/projects/commons-math/src/test/java/org/apache/commons/math3/ode/FieldExpandableODETest.java,/home/ubuntu/experiments/projects/commons-math/src/main/java/org/apache/commons/math3/ode/FieldExpandableODE.java,src/test/java/org/apache/commons/math3/ode/FieldExpandableODETest.java,src/main/java/org/apache/commons/math3/ode/FieldExpandableODE.java,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false
commons-math,FirstOrderConverterTest.java,/home/ubuntu/experiments/projects/commons-math/src/test/java/org/apache/commons/math3/ode/FirstOrderConverterTest.java,/home/ubuntu/experiments/projects/commons-math/src/main/java/org/apache/commons/math3/ode/FirstOrderConverter.java,src/test/java/org/apache/commons/math3/ode/FirstOrderConverterTest.java,src/main/java/org/apache/commons/math3/ode/FirstOrderConverter.java,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false
commons-math,ThreeEighthesFieldStepInterpolatorTest.java,/home/ubuntu/experiments/projects/commons-math/src/test/java/org/apache/commons/math3/ode/nonstiff/ThreeEighthesFieldStepInterpolatorTest.java,/home/ubuntu/experiments/projects/commons-math/src/main/java/org/apache/commons/math3/ode/nonstiff/ThreeEighthesFieldStepInterpolator.java,src/test/java/org/apache/commons/math3/ode/nonstiff/ThreeEighthesFieldStepInterpolatorTest.java,src/main/java/org/apache/commons/math3/ode/nonstiff/ThreeEighthesFieldStepInterpolator.java,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false
commons-math,HighamHall54StepInterpolatorTest.java,/home/ubuntu/experiments/projects/commons-math/src/test/java/org/apache/commons/math3/ode/nonstiff/HighamHall54StepInterpolatorTest.java,/home/ubuntu/experiments/projects/commons-math/src/main/java/org/apache/commons/math3/ode/nonstiff/HighamHall54StepInterpolator.java,src/test/java/org/apache/commons/math3/ode/nonstiff/HighamHall54StepInterpolatorTest.java,src/main/java/org/apache/commons/math3/ode/nonstiff/HighamHall54StepInterpolator.java,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false
commons-math,DormandPrince853FieldStepInterpolatorTest.java,/home/ubuntu/experiments/projects/commons-math/src/test/java/org/apache/commons/math3/ode/nonstiff/DormandPrince853FieldStepInterpolatorTest.java,/home/ubuntu/experiments/projects/commons-math/src/main/java/org/apache/commons/math3/ode/nonstiff/DormandPrince853FieldStepInterpolator.java,src/test/java/org/apache/commons/math3/ode/nonstiff/DormandPrince853FieldStepInterpolatorTest.java,src/main/java/org/apache/commons/math3/ode/nonstiff/DormandPrince853FieldStepInterpolator.java,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false
commons-math,HighamHall54FieldStepInterpolatorTest.java,/home/ubuntu/experiments/projects/commons-math/src/test/java/org/apache/commons/math3/ode/nonstiff/HighamHall54FieldStepInterpolatorTest.java,/home/ubuntu/experiments/projects/commons-math/src/main/java/org/apache/commons/math3/ode/nonstiff/HighamHall54FieldStepInterpolator.java,src/test/java/org/apache/commons/math3/ode/nonstiff/HighamHall54FieldStepInterpolatorTest.java,src/main/java/org/apache/commons/math3/ode/nonstiff/HighamHall54FieldStepInterpolator.java,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false
commons-math,LutherFieldStepInterpolatorTest.java,/home/ubuntu/experiments/projects/commons-math/src/test/java/org/apache/commons/math3/ode/nonstiff/LutherFieldStepInterpolatorTest.java,/home/ubuntu/experiments/projects/commons-math/src/main/java/org/apache/commons/math3/ode/nonstiff/LutherFieldStepInterpolator.java,src/test/java/org/apache/commons/math3/ode/nonstiff/LutherFieldStepInterpolatorTest.java,src/main/java/org/apache/commons/math3/ode/nonstiff/LutherFieldStepInterpolator.java,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false
