App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Dead Fields,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Lack of Cohesion,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
gson,LongSerializationPolicyTest.java,/home/ubuntu/experiments/projects/gson/gson/src/test/java/com/google/gson/LongSerializationPolicyTest.java,/home/ubuntu/experiments/projects/gson/gson/src/main/java/com/google/gson/LongSerializationPolicy.java,LongSerializationPolicyTest.java,LongSerializationPolicy.java,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false
gson,JsonPrimitiveTest.java,/home/ubuntu/experiments/projects/gson/gson/src/test/java/com/google/gson/JsonPrimitiveTest.java,/home/ubuntu/experiments/projects/gson/gson/src/main/java/com/google/gson/JsonPrimitive.java,JsonPrimitiveTest.java,JsonPrimitive.java,true,false,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
gson,DefaultDateTypeAdapterTest.java,/home/ubuntu/experiments/projects/gson/gson/src/test/java/com/google/gson/DefaultDateTypeAdapterTest.java,/home/ubuntu/experiments/projects/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java,DefaultDateTypeAdapterTest.java,DefaultDateTypeAdapter.java,true,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
gson,JsonStreamParserTest.java,/home/ubuntu/experiments/projects/gson/gson/src/test/java/com/google/gson/JsonStreamParserTest.java,/home/ubuntu/experiments/projects/gson/gson/src/main/java/com/google/gson/JsonStreamParser.java,JsonStreamParserTest.java,JsonStreamParser.java,true,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
gson,GsonBuilderTest.java,/home/ubuntu/experiments/projects/gson/gson/src/test/java/com/google/gson/GsonBuilderTest.java,/home/ubuntu/experiments/projects/gson/gson/src/main/java/com/google/gson/GsonBuilder.java,GsonBuilderTest.java,GsonBuilder.java,true,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,true,true,false,false,true,false
gson,FieldAttributesTest.java,/home/ubuntu/experiments/projects/gson/gson/src/test/java/com/google/gson/FieldAttributesTest.java,/home/ubuntu/experiments/projects/gson/gson/src/main/java/com/google/gson/FieldAttributes.java,FieldAttributesTest.java,FieldAttributes.java,true,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,true,true,false,false,true,false
gson,JsonArrayTest.java,/home/ubuntu/experiments/projects/gson/gson/src/test/java/com/google/gson/JsonArrayTest.java,/home/ubuntu/experiments/projects/gson/gson/src/main/java/com/google/gson/JsonArray.java,JsonArrayTest.java,JsonArray.java,true,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,true,true,false,false,true,false
gson,ObjectTypeAdapterTest.java,/home/ubuntu/experiments/projects/gson/gson/src/test/java/com/google/gson/ObjectTypeAdapterTest.java,/home/ubuntu/experiments/projects/gson/gson/src/main/java/com/google/gson/internal/bind/ObjectTypeAdapter.java,ObjectTypeAdapterTest.java,internal/bind/ObjectTypeAdapter.java,true,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,true,true,false,false,true,false
gson,GsonTest.java,/home/ubuntu/experiments/projects/gson/gson/src/test/java/com/google/gson/GsonTest.java,/home/ubuntu/experiments/projects/gson/gson/src/main/java/com/google/gson/Gson.java,GsonTest.java,Gson.java,true,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,true,true,false,false,true,false
gson,JsonParserTest.java,/home/ubuntu/experiments/projects/gson/gson/src/test/java/com/google/gson/JsonParserTest.java,/home/ubuntu/experiments/projects/gson/gson/src/main/java/com/google/gson/JsonParser.java,JsonParserTest.java,JsonParser.java,true,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,true,true,false,false,true,false
